CWEC_FILE,CWEC_CITY,CWEC_PROVINCE,CWEC_YEAR,CWEC_LATITUDE,CWEC_LONGITUDE_DIFF,CWEC_RAD_FLAG
can_abbotsford.cwec,Abbotsford,BRITISH COLUMBIA,2000,49.03,-2.37,0
can_calgary.cwec,Calgary,ALBERTA,1997,51.12,-0.98,0
can_charlottetown.cwec,Charlottetown,PRINCE EDWARD ISLAND,1997,46.28,3.13,0
can_churchill.cwec,Churchill,MANITOBA,2000,58.75,-4.07,0
can_edmonton.cwec,Edmonton,ALBERTA,1967,53,0,0
can_estevan.cwec,Estevan,SASKATCHEWAN,2000,49.22,2.03,0
can_fort_mcmurray.cwec,Fort McMurray,ALBERTA,2000,56.65,-6.22,0
can_fort_st_john.cwec,Fort St. John,ALBERTA,2000,56.23,-15.73,0
can_fredericton.cwec,Fredericton,NEW BRUNSWICK,2000,45.87,-6.53,0
can_goosebay.cwec,Goose Bay,NEWFOUNDLAND,2000,53.32,-0.42,0
can_halifax.cwec,Halifax,NOVA SCOTIA,2000,44.88,0,0
can_inuvik.cwec,Inuvik,NORTHWEST TERRITORY,2000,68.3,1.52,0
can_kamloops.cwec,Kamloops,BRITISH COLUMBIA,2000,50.7,-0.45,0
can_le_pas.cwec,Le Pas,MANITOBA,2000,53.97,-11.1,0
can_london.cwec,London,ONTARIO,2000,43,0,0
can_medicine_hat.cwec,Medicine Hat,ALBERTA,2000,50.02,-5.83,0
can_montreal.cwec,Montreal,QUEBEC,2000,45.47,1.25,0
can_muskoka.cwec,Muskoka,ONTARIO,2000,44.97,-4.3,0
can_north_battleford.cwec,North Battleford,SASKATCHEWAN,2000,52.77,-0.68,0
can_north_bay.cwec,North Bay,ONTARIO,2000,46.35,-4.43,0
can_ottawa.cwec,Ottawa,ONTARIO,1997,45.32,0.67,0
can_port_hardy.cwec,Port Hardy,BRITISH COLUMBIA,2000,50.68,-7.37,0
can_prince_george.cwec,Prince George,BRITISH COLUMBIA,2000,53.88,-2.68,0
can_prince_rupert.cwec,Prince Rupert,BRITISH COLUMBIA,2000,54.3,-10.43,0
can_quebec.cwec,Quebec,QUEBEC,1997,46.8,1.3,0
can_regina.cwec,Regina,SASKATCHEWAN,2000,50.43,0,0
can_resolute.cwec,Resolute,NUNAVUT,2000,74.72,10.02,0
can_saintjohn.cwec,Saint John,NEW BRUNSWICK,2000,45.32,-5.88,0
can_sault_ste_marie.cwec,Sault Ste. Marie,ONTARIO,2000,46.48,-9.52,0
can_schefferville.cwec,Schefferville,QUEBEC,2000,54.8,-6.82,0
can_stephenville.cwec,Stephenville,NEWFOUNDLAND,2000,48.53,1.45,0
can_stjohns.cwec,St. John's,NEWFOUNDLAND,2000,47.62,7.27,0
can_summerland.cwec,Summerland,BRITISH COLUMBIA,2000,49,0.61,0
can_swift_current.cwec,Swift Current,SASKATCHEWAN,2000,50.28,-2.68,0
can_sydney.cwec,Sydney,NOVA SCOTIA,2000,46.17,-0.05,0
can_thunderbay.cwec,Thunder Bay,ONTARIO,2000,48.37,-14.32,0
can_toronto.cwec,Toronto,ONTARIO,2000,43.67,0,0
can_trenton.cwec,Trenton,ONTARIO,2000,44.12,-2.53,0
can_vancouver.cwec,Vancouver,BRITISH COLUMBIA,1997,49.18,3.17,0
can_victoria.cwec,Victoria,BRITISH COLUMBIA,2000,48.65,-3.43,0
can_whitehorse.cwec,Whitehorse,YUKON TERRITORY,2000,60.73,0,0
can_windsor.cwec,Windsor,ONTARIO,2000,42.27,-7.97,0
can_winnipeg.cwec,Winnipeg,MANITOBA,1997,49.9,7.23,0
can_yellowknife.cwec,Yellowknife,NORTHWEST TERRITORY,1997,62.47,9.45,0
